UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Power_Consumption_kWh,Machine_Load_Percent,Energy_Cost_INR,Carbon_Emission_kgCO2,Production_Output_Units,Estimated_Downtime_Hours,Estimated_Loss_INR
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,13.13,46.2,105.04,10.77,86,0.0,0
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,12.23,38.8,97.84,10.03,74,0.0,0
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,13.28,57.8,106.24,10.89,68,0.0,0
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,13.28,67.9,106.24,10.89,66,0.0,0
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,12.41,60.8,99.28,10.18,67,0.0,0
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,13.2,65.4,105.6,10.82,67,0.0,0
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,12.97,61.6,103.76,10.64,67,0.0,0
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,12.92,59.9,103.36,10.59,68,0.0,0
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,13.66,52.6,109.28,11.2,77,0.0,0
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,14.03,58.6,112.24,11.5,78,0.0,0
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,13.92,27.9,111.36,11.41,109,0.0,0
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,13.02,63.7,104.16,10.68,72,0.0,0
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,14.13,70.5,113.04,11.59,72,0.0,0
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,12.67,46.5,101.36,10.39,71,0.0,0
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,19.89,2.7,159.12,16.31,198,6.0,240000
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,13.9,68.3,111.2,11.4,69,0.0,0
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,13.37,51.6,106.96,10.96,79,0.0,0
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,12.77,46.1,102.16,10.47,85,0.0,0
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,13.18,41.3,105.44,10.81,96,0.0,0
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,13.07,55.3,104.56,10.72,80,0.0,0
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,13.0,48.8,104.0,10.66,77,0.0,0
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,13.03,48.6,104.24,10.68,80,0.0,0
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,12.83,37.0,102.64,10.52,93,0.0,0
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,13.78,74.4,110.24,11.3,68,0.0,0
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,13.67,64.6,109.36,11.21,70,0.0,0
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,13.43,46.3,107.44,11.01,87,0.0,0
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,13.39,20.7,107.12,10.98,108,0.0,0
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,13.66,24.4,109.28,11.2,106,0.0,0
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,12.88,51.9,103.04,10.56,81,0.0,0
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,12.65,63.5,101.2,10.37,70,0.0,0
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,12.88,33.8,103.04,10.56,95,0.0,0
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,13.14,60.4,105.12,10.77,76,0.0,0
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,12.06,41.1,96.48,9.89,81,0.0,0
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,15.62,81.8,124.96,12.81,71,5.1,204000
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,14.18,27.6,113.44,11.63,116,0.0,0
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,13.21,65.0,105.68,10.83,75,0.0,0
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,12.33,55.6,98.64,10.11,68,0.0,0
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,12.99,50.7,103.92,10.65,87,0.0,0
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,12.7,26.0,101.6,10.41,88,0.0,0
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,12.74,63.0,101.92,10.45,68,0.0,0
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,13.62,61.0,108.96,11.17,76,0.0,0
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,12.66,50.0,101.28,10.38,75,2.7,108000
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,13.56,66.0,108.48,11.12,70,0.0,0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,11.73,36.9,93.84,9.62,70,0.0,0
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,13.75,62.2,110.0,11.27,74,0.0,0
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,13.46,61.8,107.68,11.04,75,0.0,0
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,12.57,58.2,100.56,10.31,75,0.0,0
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,12.61,47.3,100.88,10.34,76,0.0,0
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,13.23,56.1,105.84,10.85,72,0.0,0
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,13.71,29.1,109.68,11.24,106,0.0,0
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,12.85,59.7,102.8,10.54,73,0.0,0
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,12.13,40.1,97.04,9.95,83,0.0,0
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,12.88,54.2,103.04,10.56,72,0.0,0
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,12.69,51.6,101.52,10.41,78,0.0,0
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,13.13,30.7,105.04,10.77,101,0.0,0
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,13.68,33.8,109.44,11.22,108,0.0,0
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,13.08,28.5,104.64,10.73,99,0.0,0
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,12.85,52.2,102.8,10.54,75,0.0,0
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,12.82,36.6,102.56,10.51,90,0.0,0
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,13.25,59.2,106.0,10.86,66,0.0,0
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,12.88,44.7,103.04,10.56,86,0.0,0
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,13.67,37.2,109.36,11.21,101,0.0,0
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,12.12,39.7,96.96,9.94,82,0.0,0
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,13.68,54.6,109.44,11.22,81,0.0,0
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,13.88,22.0,111.04,11.38,110,0.0,0
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,14.51,21.1,116.08,11.9,122,0.0,0
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,13.43,48.8,107.44,11.01,84,0.0,0
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,12.42,46.4,99.36,10.18,74,0.0,0
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,12.9,53.6,103.2,10.58,75,0.0,0
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,12.44,39.5,99.52,10.2,87,0.0,0
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,13.56,70.8,108.48,11.12,74,0.0,0
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,13.78,59.9,110.24,11.3,79,0.0,0
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,12.92,41.0,103.36,10.59,90,0.0,0
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,12.69,41.2,101.52,10.41,85,0.0,0
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,13.72,16.1,109.76,11.25,111,0.0,0
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,13.34,54.4,106.72,10.94,79,0.0,0
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,12.79,49.3,102.32,10.49,79,0.0,0
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,13.01,64.7,104.08,10.67,78,0.0,0
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,12.99,34.2,103.92,10.65,95,0.0,0
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,13.05,59.1,104.4,10.7,73,0.0,0
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,12.62,41.4,100.96,10.35,85,0.0,0
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,12.77,34.3,102.16,10.47,88,0.0,0
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,13.04,39.1,104.32,10.69,97,0.0,0
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,12.68,54.4,101.44,10.4,76,0.0,0
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,12.93,60.1,103.44,10.6,73,0.0,0
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,13.54,46.8,108.32,11.1,84,0.0,0
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,12.68,71.4,101.44,10.4,62,0.0,0
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,13.74,47.4,109.92,11.27,83,0.0,0
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,13.4,38.1,107.2,10.99,99,0.0,0
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,12.32,50.0,98.56,10.1,84,0.0,0
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,14.19,72.9,113.52,11.64,64,0.0,0
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,13.0,55.8,104.0,10.66,71,0.0,0
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,13.44,48.3,107.52,11.02,87,0.0,0
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,12.6,39.4,100.8,10.33,84,0.0,0
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,12.79,43.5,102.32,10.49,77,0.0,0
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,13.25,33.2,106.0,10.86,100,0.0,0
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,12.8,48.8,102.4,10.5,74,0.0,0
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,13.58,65.3,108.64,11.14,73,0.0,0
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,13.51,63.0,108.08,11.08,68,0.0,0
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,13.13,41.7,105.04,10.77,97,0.0,0
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,12.96,53.6,103.68,10.63,72,0.0,0
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,13.2,69.1,105.6,10.82,61,0.0,0
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,13.72,66.7,109.76,11.25,75,0.0,0
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,13.02,65.3,104.16,10.68,59,0.0,0
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,12.43,45.5,99.44,10.19,80,0.0,0
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,12.6,49.7,100.8,10.33,83,0.0,0
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,13.68,25.5,109.44,11.22,103,0.0,0
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,13.5,65.1,108.0,11.07,71,0.0,0
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,12.25,54.3,98.0,10.04,69,0.0,0
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,12.11,44.8,96.88,9.93,80,0.0,0
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,13.31,38.2,106.48,10.91,89,0.0,0
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,13.02,43.3,104.16,10.68,80,0.0,0
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,12.91,63.3,103.28,10.59,68,0.0,0
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,12.62,51.1,100.96,10.35,77,0.0,0
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,12.56,54.7,100.48,10.3,72,0.0,0
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,12.22,48.2,97.76,10.02,76,0.0,0
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,13.74,47.7,109.92,11.27,86,0.0,0
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,14.14,33.0,113.12,11.59,110,0.0,0
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,12.59,46.0,100.72,10.32,81,0.0,0
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,14.35,18.4,114.8,11.77,122,0.0,0
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,13.65,67.3,109.2,11.19,79,0.0,0
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,13.16,56.9,105.28,10.79,77,0.0,0
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,12.86,43.8,102.88,10.55,79,0.0,0
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,13.58,62.6,108.64,11.14,76,0.0,0
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,13.81,73.3,110.48,11.32,60,3.6,144000
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,13.79,70.6,110.32,11.31,71,1.8,72000
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,13.0,49.3,104.0,10.66,86,0.0,0
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,13.11,50.8,104.88,10.75,76,0.0,0
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,12.84,59.5,102.72,10.53,74,0.0,0
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,12.98,32.6,103.84,10.64,99,0.0,0
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,12.83,43.7,102.64,10.52,89,0.0,0
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,12.9,63.2,103.2,10.58,75,0.0,0
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,15.35,79.1,122.8,12.59,73,7.4,296000
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,13.91,72.2,111.28,11.41,63,0.0,0
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,13.14,38.4,105.12,10.77,89,0.0,0
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,14.02,60.5,112.16,11.5,76,0.0,0
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,13.94,23.0,111.52,11.43,116,0.0,0
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,12.8,42.8,102.4,10.5,87,0.0,0
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,13.69,76.2,109.52,11.23,62,0.0,0
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,12.32,58.7,98.56,10.1,69,0.0,0
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,13.17,42.5,105.36,10.8,89,0.0,0
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,14.58,31.4,116.64,11.96,122,0.0,0
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,13.71,62.4,109.68,11.24,73,0.0,0
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,12.51,76.8,100.08,10.26,62,0.0,0
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,14.01,66.5,112.08,11.49,77,0.0,0
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,13.53,23.7,108.24,11.09,107,0.0,0
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,12.6,55.5,100.8,10.33,65,0.0,0
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,12.84,53.1,102.72,10.53,78,0.0,0
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,13.04,35.7,104.32,10.69,94,0.0,0
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,12.15,50.8,97.2,9.96,74,0.0,0
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,13.33,74.1,106.64,10.93,62,0.0,0
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,12.24,53.6,97.92,10.04,68,0.0,0
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,12.92,36.7,103.36,10.59,88,0.0,0
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,13.68,46.8,109.44,11.22,82,0.0,0
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,14.03,61.1,112.24,11.5,77,0.0,0
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,13.58,46.6,108.64,11.14,93,0.0,0
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,13.6,67.0,108.8,11.15,70,0.0,0
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,13.68,36.1,109.44,11.22,95,0.0,0
195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,19.13,10.3,153.04,15.69,182,4.6,184000
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,12.86,55.6,102.88,10.55,75,0.0,0
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,13.58,58.4,108.64,11.14,73,0.0,0
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,13.23,51.7,105.84,10.85,81,0.0,0
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,12.95,43.1,103.6,10.62,87,0.0,0
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,13.26,53.8,106.08,10.87,73,0.0,0
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,13.14,44.6,105.12,10.77,89,0.0,0
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,13.69,54.2,109.52,11.23,86,0.0,0
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,13.47,49.2,107.76,11.05,91,0.0,0
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,12.5,52.1,100.0,10.25,78,0.0,0
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,13.99,32.9,111.92,11.47,100,0.0,0
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,13.29,62.9,106.32,10.9,65,0.0,0
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,13.18,45.8,105.44,10.81,89,0.0,0
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,15.02,80.7,120.16,12.32,72,4.0,160000
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,13.21,47.8,105.68,10.83,87,0.0,0
210,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,13.22,74.5,105.76,10.84,77,0.0,0
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,12.54,47.2,100.32,10.28,81,0.0,0
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,12.69,47.0,101.52,10.41,86,0.0,0
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,13.28,72.2,106.24,10.89,65,0.0,0
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,12.55,59.7,100.4,10.29,69,0.0,0
215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,13.25,44.2,106.0,10.86,87,0.0,0
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,13.33,53.9,106.64,10.93,83,0.0,0
217,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,12.63,43.5,101.04,10.36,79,0.0,0
218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,13.15,37.0,105.2,10.78,93,0.0,0
219,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,12.15,44.7,97.2,9.96,74,0.0,0
220,M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,13.15,58.7,105.2,10.78,73,0.0,0
221,L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,13.88,78.7,111.04,11.38,72,0.0,0
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,13.57,18.8,108.56,11.13,108,0.0,0
223,L47402,L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,11.85,60.0,94.8,9.72,62,0.0,0
